
,Terias,55,11,DAMADE,VILTORICS,,
,Marcos,50,10,PUINTS,6,,
,Jerlis,46,10,11202333,2,,
,Veemon17,45,9,796611,2,,
,Randomjoe19,45,10,8938358,11,,
,InfernalCrackLED,42,10,8242331,2,,
,Waldos_wartortle,42,10,9767570,4,,
,Mikey25125,42,8,8914042,2,,
,DOMPYMCSPASMIME,40,9,7288489,223,,
,Lj2play,40,9,10118259,223,,
,Rocket Ace,40,10,9147575,223,,
,Fred,40,10,8560735,223,,
,Dakian Tero,40,10,8170330,223,,
,Hellzy,40,8,8378922,223,,
,Feu77,39,9,8376610,223,,
,WhoDey Kevin,39,9,6043107,223,,
,Grizzadams,38,8,5712304,223,,
,Tseng,37,10,7358732,223,,
,Ancale,35,8,6720541,23,,
,Slatorious,35,223,7067918,223,,
,Optimist Prime,35,223,7803682,223,,
,Awkt,35,,6562434,223,,
,Tambei,33,,6233542,,,
,Flo,27,,5574402,,
