
,Terias,55,11,11202333,6,4,
,Marcos,50,10,7966111,0,2,
,Jerlis,46,11,8938358,2,2,
,Veemon17,45,10,8242331,0,4,
,Randomjoe19,45,9,9767570,0,2,
,InfernalCrackLED,42,10,8914042,1,2,
,Waldos_wartortle,42,10,7288489,0,2,
,Mikey25125,42,9,10118259,2,2,
,DOMPOM©SPASM[M.,40,10,9147575,11,4,
,Lj2play,40,8,8560735,1,2,
,Rocket Ace,40,9,8170330,2,2,
,Fred,40,9,8378922,0,2,
,Dakian Tero,40,9,8376610,2,2,
,Hellzy,40,10,6043107,0,2,
,Feu77,39,9,5712304,1,2,
,WhoDey Kevin,39,10,7358732,4,3,
,Grizzadams,38,9,6720541,0,3,
,Tseng,37,10,7067918,0,2,
,Аncale,35,8,7803682,0,2,
,Slatorious,35,9,6562434,1,2,
,Optimist Prime,35,9,6233542,0,3,
,Awkt,35,8,5574402,9,2,
,Tambei,33,10,6330899,1,4,
,Flo,27,8,5131161,2,2
